ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
0,717,17.94,0.06,0,0.06,0.85,81.11,51.368,215,11.0,24.0,24.0,2499.0,0,60.0,2.32,7,3,0.17,5,34,42,0.02,3,0.11,24,2,0.09,16,1,4,Hayvansal
1,116,76.78,0,0,0,19.41,3.71,94.900.000,89,114.0,225.0,9.0,22.0,0,1.0,0.18,2.9,381,0.51,0.09,0.22,5.198,0.76,4,1.1,174,20,02.05,66,21.8,14,Hayvansal
2,75,79.53,17.99,4.9,4.8,1.2,0.3,0.05,0,10.0,375.0,36.0,0.0,17,0.0,1.49,22.5,0.09,0,0.09,0.05,0.7,0.59,67,60.000.000,71,29,0.59,0.12,1.8,56.000.000,Bitkisel
3,132.46,73.13,12.46,1.59,1.59,6.37,6.57,2.23,22.57,320.48,256.79,28.27,511.68,5.2,5.71,0.34,2.23,0.21,0.44,0.1,0.09,1.71,0.98,15.53,0.39,79.5,21.38,1.36,0.15,5.2,0.24,Mix
4,103.29,79.04,04.01,01.07,2.38,11.47,4.53,0.77,28.62,316.43,189.8,15.58,7050.79,32.59,1.86,1.88,4.11,0.23,0.09,0.05,0.07,0,0.71,15.6,0.4,78.47,16.49,0.46,0.05,8.5,0.1,Hayvansal
5,185,66.44,0,0,0,26.26,08.06,2.2,89,78.0,190.0,11.0,60.0,0,5.0,0.27,3.6,0.21,0.23,59,216,4.798,1.4,8,913,149,21,2.78,77,26.5,19,Hayvansal
6,18,94.78,0.04,0,0.04,0,0,0,0,2.0,2.0,6.0,0.0,0,0.0,0,0,0,0,0,0,0,0.03,0,0,4,1,0.01,6,0.5,55,Bitkisel
7,63,82.3,15.5,4.5,0,1.3,0.3,35,0,2.0,196.0,70.0,250.0,71,0.0,0,0,93,0,0.1,0.05,0.5,0.8,30,0.33,22,14,0.11,57,0.7,0,Bitkisel
8,565,3.3,25.74,14,0,16.96,48,6.722,0,11.0,475.0,989.0,9.0,0,0.0,0,0,802,0,803,251,4.581,14.76,98,51,638,356,7.16,2.47,34.4,2.496,Bitkisel
9,65.13,87.35,4.31,0.73,0.64,4.27,3.49,1.18,12.17,68.77,87.88,29.59,657.1,01.03,7.36,0.14,0.54,0.06,0.34,0.05,0.05,0,0.56,19.01,0.14,57.91,8.85,0.69,0.04,3.26,0.11,Bitkisel
